niche,grade,score,channel_name,channel_url,subscribers,total_views,video_count,view_sub_ratio,views_per_video,country,created_date
Business & Entrepreneurship,A EXCELLENT,66,eCommerce Guide India,https://youtube.com/channel/UCqlzhqYSpbTuphj6o_6Bwuw,50200,3668906,124,73.1,29587,IN,2021-02-07
Business & Entrepreneurship,A EXCELLENT,66,Flick - Social Media Marketing Platform,https://youtube.com/channel/UCtsFi4xrS3-wbkWxXLIOPaw,52800,5300818,405,100.4,13088,GB,2019-04-12
Business & Entrepreneurship,B GOOD,63,William Lee,https://youtube.com/channel/UC3ctMFhnGP4HTgr2NwgqBIg,88800,3909134,18,44.0,217174,US,2013-09-18
Business & Entrepreneurship,B GOOD,62,Tanzil Rahman,https://youtube.com/channel/UCpuRk3tXvePIbx182qfJUFA,20600,1404713,457,68.2,3073,PK,2019-05-01
Business & Entrepreneurship,B GOOD,61,SUCCESSFUL ENTREPRENEUR,https://youtube.com/channel/UCx_tBXDCadU1dtD4vdzBp2g,52500,3197672,355,60.9,9007,US,2023-12-21
Business & Entrepreneurship,B GOOD,60,Matt Starky,https://youtube.com/channel/UC557L0zUn9XCvx4F1KiKENQ,39800,1369794,87,34.4,15744,HR,2022-12-22
Business & Entrepreneurship,B GOOD,55,Russel A Kawser,https://youtube.com/channel/UCeImv6JOonmdsff5uklqltQ,47300,1722978,232,36.4,7426,BD,2022-11-04
Business & Entrepreneurship,B GOOD,53,Blueprint to Revenue,https://youtube.com/channel/UCB8O_S2baXMP0pXFCJY7Y2g,67400,1995336,124,29.6,16091,US,2019-01-01
Technology & Software,A+ GOLDEN OPPORTUNITY,85,Rohan Katkar,https://youtube.com/channel/UC0ofXeCRNHQbqdTPAR43mHQ,3820,1110406,8,290.7,138800,IN,2022-07-24
Technology & Software,A+ GOLDEN OPPORTUNITY,81,Chris Tomshack,https://youtube.com/channel/UCqlqfqNiml9i-5f0PTJVgxw,62300,6846492,13,109.9,526653,US,2012-04-12
Technology & Software,A+ GOLDEN OPPORTUNITY,81,None The Wiser,https://youtube.com/channel/UC7w-eBSGurSTnI7Mne3mN1Q,13200,1468883,5,111.3,293776,Unknown,2017-07-18
Technology & Software,A+ GOLDEN OPPORTUNITY,81,Ecourse Review,https://youtube.com/channel/UCEZi6EERpqH_iQXd-PG2keg,16500,3758619,11,227.8,341692,TH,2014-01-01
Technology & Software,A+ GOLDEN OPPORTUNITY,80,Kevin Heelan,https://youtube.com/channel/UC7yfvxgp31VmQMSx0JzmX_w,28500,4631970,26,162.5,178152,US,2019-07-06
Technology & Software,A+ GOLDEN OPPORTUNITY,80,NextoolX,https://youtube.com/channel/UC18m4uAsXBsKkFvmXOfCpgQ,53400,9055414,55,169.6,164643,US,2025-07-13
Technology & Software,A EXCELLENT,76,MB Nails,https://youtube.com/channel/UCu-2Z4eCUdBPyOD6JD5XYFQ,65300,7124038,64,109.1,111313,DK,2022-07-10
Technology & Software,A EXCELLENT,76,Shen,https://youtube.com/channel/UCvJcTRi4_bYwc0OQLiKbkEQ,87500,6175794,30,70.6,205859,ES,2019-03-25
Technology & Software,A EXCELLENT,76,Transverse Audio,https://youtube.com/channel/UCqIGfoZbQu9p2_o6bR5Dy9A,60400,10806695,75,178.9,144089,CA,2017-01-04
Technology & Software,A EXCELLENT,76,ZonxScratch,https://youtube.com/channel/UCafVSE0vundIbXfkhU8v3Fw,72000,10590642,39,147.1,271554,Unknown,2023-05-29
Technology & Software,A EXCELLENT,75,Unknown Tech,https://youtube.com/channel/UCuNKAuNHGG-HI_s5cErj-Zw,33700,12061798,125,357.9,96494,DE,2020-07-08
Technology & Software,A EXCELLENT,75,Mr. RoboCarrot,https://youtube.com/channel/UCDHljgEAf0fkrfb0oTVdj_w,1920,772504,50,402.3,15450,US,2012-08-05
Technology & Software,A EXCELLENT,75,FlightSimReviews,https://youtube.com/channel/UCo-RqAmZh1xBld0YM7_zd2Q,2850,1089143,63,382.2,17287,Unknown,2011-04-07
Technology & Software,A EXCELLENT,75,Manish Digital Academy,https://youtube.com/channel/UCeJByEW8nLN6foDSLCNg6bw,32200,5446027,103,169.1,52874,IN,2024-04-22
Technology & Software,A EXCELLENT,74,Brightpick,https://youtube.com/channel/UCPRMWvxhUlMXxl13U7RBwnA,13100,1700104,71,129.8,23945,US,2022-06-01
Technology & Software,A EXCELLENT,74,HighTechDad,https://youtube.com/channel/UCIjNopmW20naT1uOL6vyWZQ,16200,11928114,324,736.3,36815,US,2008-09-29
Technology & Software,A EXCELLENT,71,inspirationTuts CAD,https://youtube.com/channel/UCOMUcuzNLBgfqK0ApR0Pk4A,51000,9732115,124,190.8,78484,US,2020-05-07
Technology & Software,A EXCELLENT,71,AI Alfie ,https://youtube.com/channel/UCismEm75ASmEIXU-UpdFYnQ,12200,715568,19,58.7,37661,US,2018-11-01
Technology & Software,A EXCELLENT,70,LocalWell,https://youtube.com/channel/UCvf4rN4Os7j6T7RjaBPPbGQ,2650,619704,405,233.9,1530,IN,2020-02-08
Technology & Software,A EXCELLENT,70,Accountex Network,https://youtube.com/channel/UC_aVE-tq4lFz5q5DgtBHYVg,2860,678842,178,237.4,3813,Unknown,2009-11-17
Technology & Software,A EXCELLENT,70,The Artmann,https://youtube.com/channel/UCkBWl1c_VIVddCK9np3PCmQ,22200,5434678,200,244.8,27173,DE,2019-12-15
Technology & Software,A EXCELLENT,67,Arrash Jaffarzadeh,https://youtube.com/channel/UCst_hT0GGo1QFtTrYsGPF3A,32500,2148503,82,66.1,26201,Unknown,2006-11-26
Technology & Software,A EXCELLENT,67,iontrades,https://youtube.com/channel/UCEvr_Nd7eWIx8LCsnvF0Hyg,513,165407,50,322.4,3308,US,2014-06-29
Technology & Software,A EXCELLENT,66,All About Money,https://youtube.com/channel/UCCMSoNxUmvZqptMRWYUehvA,79600,2399687,5,30.1,479937,US,2022-08-10
Technology & Software,A EXCELLENT,66,9x,https://youtube.com/channel/UCKtumk72QC3XBb_VWSMQAHg,66300,3358218,124,50.7,27082,DE,2022-09-07
Technology & Software,A EXCELLENT,66,Coding with Dee,https://youtube.com/channel/UCgz2M4uU3x9MrMcMFSwQzzg,85100,5837213,189,68.6,30884,ZA,2020-04-09
Technology & Software,A EXCELLENT,65,Ollex,https://youtube.com/channel/UCE7o3xApwDmey-warE_hzMg,45500,2266253,36,49.8,62951,US,2021-03-09
Technology & Software,A EXCELLENT,65,5 Minutes Tech,https://youtube.com/channel/UCmucQyVE8bjP5zJhJgHIp2w,31100,1310193,17,42.1,77070,CA,2022-12-18
Technology & Software,B GOOD,62,Q TECH STUDIO,https://youtube.com/channel/UCOc8dkLX4-h1Bx9AdNJi7mw,25000,1306776,223,52.3,5859,US,2014-07-31
Technology & Software,B GOOD,61,WhiteboardDoodles,https://youtube.com/channel/UCy8KBeOp4g2B749unbq1I_Q,64400,2921378,48,45.4,60862,BA,2024-05-20
Technology & Software,B GOOD,60,Novie by the Sea,https://youtube.com/channel/UCiEO4Qz4HX4Oj7rXIs9X0bQ,34700,1594836,47,46.0,33932,Unknown,2025-09-21
Technology & Software,B GOOD,56,Cyber Guard,https://youtube.com/channel/UC3QACHI7e7aTDWmM0jwXeHw,74000,2695683,243,36.4,11093,IN,2023-03-16
Health & Wellness,A+ GOLDEN OPPORTUNITY,84,Barely Bliss,https://youtube.com/channel/UC5dilEVhGmBxPQXdLRc5eVA,47700,3902461,11,81.8,354769,CA,2025-06-03
Health & Wellness,A+ GOLDEN OPPORTUNITY,80,4 Minutes Health,https://youtube.com/channel/UCV_ciY9-sZd8ZM1mbtoSpVg,38400,2874501,19,74.9,151289,BD,2020-01-27
Health & Wellness,A EXCELLENT,76,URVA TV,https://youtube.com/channel/UCi4Vd4s-MXm5y5_AexOCEKw,55100,12214555,42,221.7,290822,Unknown,2017-09-23
Health & Wellness,A EXCELLENT,76,Mylemarks,https://youtube.com/channel/UCqzTzgd1zmoNNdt7ABPx-ow,55600,5994816,15,107.8,399654,US,2019-10-19
Health & Wellness,A EXCELLENT,76,The Partnership In Education,https://youtube.com/channel/UC-W3zBLrj64_AKWrkcsU_cA,15700,2736319,53,174.3,51628,US,2014-09-11
Health & Wellness,A EXCELLENT,75,Eunoia,https://youtube.com/channel/UC-QK1-aom9ns2oUrL2lSOzA,25700,3513069,51,136.7,68883,US,2023-07-04
Health & Wellness,A EXCELLENT,75,Mindhive,https://youtube.com/channel/UCdksAUiNBeijnQ_T3w35gag,34400,2997148,47,87.1,63769,US,2020-04-16
Health & Wellness,A EXCELLENT,75,Alliance for Aging Research,https://youtube.com/channel/UCbJXpENBymklgOlm6fuf_Jg,43500,26440638,438,607.8,60366,US,2008-10-03
Health & Wellness,A EXCELLENT,75,Train With Kane,https://youtube.com/channel/UCKBKx-ZGuYJOE4zWS_Aqcwg,2410,1026285,76,425.8,13503,GB,2013-08-17
Health & Wellness,A EXCELLENT,70,Priory,https://youtube.com/channel/UCotBAVkS5Fdd3byBwLDw65Q,36100,5173007,194,143.3,26664,GB,2015-02-23
Health & Wellness,A EXCELLENT,66,Dabby,https://youtube.com/channel/UCZmv8aMKJ_NyS5uFJK_R8lg,68300,3260849,13,47.7,250834,Unknown,2025-06-05
Health & Wellness,B GOOD,60,Dr Arif Khan,https://youtube.com/channel/UCf0gtMM3feDCSQ8T0z811Ew,94400,3378897,119,35.8,28394,AE,2025-10-15
True Crime,A+ GOLDEN OPPORTUNITY,89,Raaz Ki Awaz,https://youtube.com/channel/UC7E3t-uwf48qcFt2qswDLJA,23300,12554115,25,538.8,502164,IN,2024-04-04
True Crime,A+ GOLDEN OPPORTUNITY,88,AJ SAYS,https://youtube.com/channel/UC131HDr-dCAD6VqPuq7fjXA,8400,3240058,23,385.7,140872,Unknown,2025-09-05
True Crime,A+ GOLDEN OPPORTUNITY,85,MissingPersonsVEVO,https://youtube.com/channel/UCdP2IG-QxTj70GuIkc0rwAg,30400,27860450,10,916.5,2786045,Unknown,2010-09-01
True Crime,A+ GOLDEN OPPORTUNITY,83,Bodycam Declassified,https://youtube.com/channel/UCVowDlMwPrzz6Rxpl2nof2A,75400,22757013,62,301.8,367048,US,2025-02-10
True Crime,A+ GOLDEN OPPORTUNITY,80,Encouraged,https://youtube.com/channel/UCQ3z3WUdPdQ9JZUefQHMPPA,28100,5577959,16,198.5,348622,DE,2022-10-07
